         t [s]          a [m]           E1 [W]           M1 [W]     M1/(E1+M1)
  0.000000e+00   1.058354e-10     1.167257e-08     1.431936e-23   1.226753e-15
  1.540825e-11   8.343819e-11     3.021564e-08     8.611251e-23   2.849932e-15
  2.318656e-11   6.578079e-11     7.821178e-08     1.089982e-21   1.393629e-14
  2.699900e-11   5.186015e-11     2.024551e-07     6.518375e-21   3.219665e-14
  2.886733e-11   4.088534e-11     5.240412e-07     5.969568e-20   1.139141e-13
  2.978307e-11   3.223331e-11     1.356324e-06     6.720809e-19   4.955163e-13
  3.023213e-11   2.541248e-11     3.510521e-06     4.282588e-18   1.219930e-12
  3.045218e-11   2.003486e-11     9.086115e-06     3.728480e-17   4.103492e-12
  3.056005e-11   1.579584e-11     2.351087e-05     3.317773e-16   1.411166e-11
  3.061301e-11   1.245349e-11     6.082708e-05     2.700424e-15   4.439510e-11
  3.063905e-11   9.818297e-12     1.572809e-04     2.794784e-14   1.776938e-10
  3.065190e-11   7.741199e-12     4.068734e-04     1.827919e-13   4.492598e-10
  3.065824e-11   6.103830e-12     1.050059e-03     2.011067e-12   1.915194e-09
  3.066136e-11   4.813661e-12     2.710518e-03     1.390898e-11   5.131485e-09
  3.066295e-11   3.795501e-12     6.974539e-03     1.543750e-10   2.213408e-08

checkpoints 15; share min 1.2268e-15 max 2.2134e-08 median 4.1035e-12
