776a57e  r 2.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.901e-01 | E_koniec-E0 /|U_dd| -1.901e-01 | r 1.9418..2.0124 r* | 6 s
776a57e  r 1.0 ch orto tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 7.938e-02 | E_koniec-E0 /|U_dd| +2.719e-03 | r 0.9925..1.7948 r* | 201 s
776a57e  r 2.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 2.013e-01 | E_koniec-E0 /|U_dd| -4.013e-02 | r 1.9071..2.2910 r* | 211 s
776a57e  r 1.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 2.696e-01 | E_koniec-E0 /|U_dd| -2.696e-01 | r 0.9190..1.0142 r* | 5 s
776a57e  r 2.0 ch orto tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 3.410e-01 | E_koniec-E0 /|U_dd| -3.410e-01 | r 1.6359..1.9999 r* | 323 s
HEAD  r 2.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.540e+00 | E_koniec-E0 /|U_dd| +1.540e+00 | r 2.0000..3.7423 r* | 145 s
HEAD  r 2.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.901e-01 | E_koniec-E0 /|U_dd| -1.901e-01 | r 1.9418..2.0124 r* | 8 s
HEAD  r 1.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.188e+01 | E_koniec-E0 /|U_dd| +1.181e+01 | r 0.5394..22.8382 r* | 136 s
HEAD  r 2.0 ch orto tilt 0 tol 1e-08 | AWARIA 368/1024 | zakres E/|U_dd| 3.444e+01 | E_koniec-E0 /|U_dd| -3.444e+01 | r 0.3039..1.9999 r* | 371 s
HEAD  r 1.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 2.696e-01 | E_koniec-E0 /|U_dd| -2.696e-01 | r 0.9190..1.0142 r* | 7 s
HEAD  r 1.0 ch orto tilt 0 tol 1e-08 | AWARIA 508/1024 | zakres E/|U_dd| 1.476e+01 | E_koniec-E0 /|U_dd| -1.476e+01 | r 0.2333..1.6417 r* | 274 s
776a57e  r 2.0 ch para tilt 0 tol 1e-09 | ok 1024/1024 | zakres E/|U_dd| 2.013e-01 | E_koniec-E0 /|U_dd| -3.988e-02 | r 1.9072..2.2911 r* | 631 s
HEAD  r 2.0 ch para tilt 0 tol 1e-09 | ok 1024/1024 | zakres E/|U_dd| 1.540e+00 | E_koniec-E0 /|U_dd| +1.540e+00 | r 2.0000..3.7423 r* | 318 s
776a57e  r 1.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 4.365e+02 | E_koniec-E0 /|U_dd| +4.364e+02 | r 0.2578..1.5627 r* | 1062 s
776a57e  r 5.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.109e-01 | E_koniec-E0 /|U_dd| -1.109e-01 | r 4.9626..5.0120 r* | 6 s
776a57e  r 10.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.146e-01 | E_koniec-E0 /|U_dd| -1.146e-01 | r 9.9832..10.5758 r* | 81 s
776a57e  r 10.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.326e-01 | E_koniec-E0 /|U_dd| -1.326e-01 | r 9.9745..10.0125 r* | 5 s
776a57e  r 10.0 ch orto tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.843e-01 | E_koniec-E0 /|U_dd| -1.843e-01 | r 9.1110..9.9999 r* | 80 s
776a57e  r 5.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 6.285e-02 | E_koniec-E0 /|U_dd| -6.285e-02 | r 4.9815..5.9655 r* | 135 s
HEAD  r 5.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.109e-01 | E_koniec-E0 /|U_dd| -1.109e-01 | r 4.9626..5.0120 r* | 9 s
776a57e  r 5.0 ch orto tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 2.899e-01 | E_koniec-E0 /|U_dd| -2.899e-01 | r 3.7110..4.9998 r* | 174 s
HEAD  r 10.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 3.735e-02 | E_koniec-E0 /|U_dd| -3.726e-02 | r 9.9943..10.5779 r* | 93 s
HEAD  r 5.0 ch para tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 2.222e-01 | E_koniec-E0 /|U_dd| +2.222e-01 | r 5.0001..6.0750 r* | 158 s
HEAD  r 10.0 ch bez tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 1.326e-01 | E_koniec-E0 /|U_dd| -1.326e-01 | r 9.9745..10.0125 r* | 7 s
HEAD  r 10.0 ch orto tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 3.414e-01 | E_koniec-E0 /|U_dd| -3.414e-01 | r 9.0898..9.9999 r* | 85 s
HEAD  r 5.0 ch orto tilt 0 tol 1e-08 | ok 1024/1024 | zakres E/|U_dd| 4.611e+00 | E_koniec-E0 /|U_dd| -4.611e+00 | r 3.1066..4.9998 r* | 194 s
